ID,Name,gameAction,padKeyId,keyboardKeyId,keyboardModifyKey,mouseKeyId,mouseModifyKey,
0,null,0,-1,125,0,0,0
1,null,1,3003,86,0,0,0
2,null,2,3003,100,0,0,0
3,null,3,3002,99,0,0,0
4,null,4,3002,101,0,0,0
5,null,5,2005,111,0,0,0
6,null,6,2004,126,0,0,0
7,null,7,2010,85,0,0,0
8,null,8,3005,-1,0,0,0
9,null,9,3005,-1,0,0,0
10,null,10,3004,-1,0,0,0
11,null,11,3004,-1,0,0,0
12,null,12,2011,-1,0,8,0
13,null,13,2003,114,0,0,0
14,null,14,2002,115,0,0,0
15,null,15,2007,113,0,0,0
16,null,16,2009,-1,0,2,0
17,null,17,2008,98,0,0,0
18,null,18,3001,-1,0,1,0
19,null,19,3000,102,0,0,0
20,null,20,2006,87,0,0,0
21,null,21,2000,88,0,0,0
22,null,22,2001,116,0,0,0
25,null,25,2900,126,0,0,0
26,null,26,2013,70,0,0,0
27,null,27,2013,70,0,0,0
28,null,28,2013,70,0,0,0
29,null,29,2000,190,0,0,0
30,null,30,2001,195,0,0,0
31,null,31,2003,193,0,0,0
32,null,32,2002,192,0,0,0
33,null,33,2900,126,0,2,0
34,null,34,2901,85,0,0,0
35,null,35,2008,192,3,0,0
36,null,36,2009,193,3,0,0
37,null,37,3000,190,3,0,0
38,null,38,3001,195,3,0,0
39,null,39,-1,-1,0,9,0
40,null,40,-1,-1,0,10,0
41,null,41,2010,114,0,0,0
42,null,42,-1,-1,0,1,0
