ID,Name,edgeColorA,frontColorA,diffMulColorA,specMulColorA,lightColorA,edgeColorR,edgeColorG,edgeColorB,frontColorR,frontColorG,frontColorB,diffMulColorR,diffMulColorG,diffMulColorB,specMulColorR,specMulColorG,specMulColorB,lightColorR,lightColorG,lightColorB,reserve,alpha,blendRate,blendType,isEdgeSubtract,isFrontSubtract,isNo2Pass,
1,,1,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,0,0,0
2,,1,0.02,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0
3,,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,0,1,0
4,,0.63,1,1,1,0.5,64,128,200,80,48,0,255,255,255,255,255,255,128,128,200,0,1,0.5,0,0,1,0
5,,1,1,1,1,1,160,160,255,80,48,0,255,255,255,255,255,255,160,160,255,0,1,1,0,0,1,0
28,,1,1,1,1,1,160,160,255,80,48,0,255,255,255,255,255,255,160,160,255,0,1,1,0,0,1,0
6,,1,1,1,1,1,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,0,1,0
7,,1,1,1,1,1,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,0,1,0
8,,1,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
9,,0.63,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
10,,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
29,,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
11,,1,1,1,1,0.5,0,255,255,64,255,200,255,255,255,255,255,255,255,0,32,0,1,1,0,1,1,0
12,,1,1,1,1,0.78,128,110,100,32,32,32,255,255,255,255,255,255,210,200,160,0,1,0.6,0,0,1,0
13,,1,1,1,1,0.78,32,16,64,30,30,0,255,255,255,255,255,255,225,200,255,0,1,0.6,0,0,1,0
14,,0.5,1,1,1,1,255,255,255,0,0,0,0,0,0,255,255,255,150,160,192,0,1,1,0,1,0,0
15,,0.19,0.19,1,1,1,255,255,255,128,128,128,32,32,32,0,0,0,0,0,0,0,0.75,1,3,1,0,0
16,,0.25,0.06,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,0.3,0,1,0,0
17,,1,0.5,1,1,1,115,150,150,15,25,25,0,0,0,255,255,255,60,90,90,0,0.1,1,3,0,0,0
18,,1,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,0,0,0
19,,0.8,0.1,0.8,0.8,1,70,180,255,80,155,255,220,230,255,220,230,255,64,200,255,0,1,0.5,0,0,0,0
20,,1,0.08,1,1,1,255,255,50,255,200,0,0,0,0,255,255,50,255,200,0,0,1,0.5,0,0,0,0
21,,1,0.08,1,1,1,255,178,114,255,128,64,0,0,0,255,178,114,255,128,64,0,1,0.5,0,0,0,0
22,,1,0.08,1,1,1,150,100,255,175,150,200,0,0,0,255,200,255,175,150,200,0,1,0.5,0,0,0,0
23,,1,0.08,1,1,1,210,242,82,160,192,32,0,0,0,210,242,82,160,192,32,0,1,0.5,0,0,0,0
24,,0.5,0.08,1,1,1,255,178,114,255,128,64,0,0,0,255,178,114,255,128,64,0,1,0.5,0,0,0,0
25,,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,0,0,0
26,,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,0,0,0
27,,0.5,1,1,1,1,255,255,255,0,0,0,0,0,0,255,255,255,150,160,192,0,1,1,0,1,0,0
28,,1,0.08,1,1,1,115,255,255,64,200,255,0,0,0,115,255,255,64,200,255,0,1,0.5,0,0,0,0
29,,1.5,0.05,1,1,1,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,0.5,0,0,0,0
30,,1,0.08,1,1,1,150,150,255,100,100,255,0,0,0,150,150,255,100,100,255,0,1,0.5,0,0,0,0
31,,0.19,0.19,1,1,1,255,255,255,128,128,128,32,32,32,0,0,0,0,0,0,0,0.75,1,3,1,0,0
32,,1,0,1,1,1,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,0.3,1,0,0,0,0
33,,1,0,0.1,0.2,0,190,170,255,255,255,255,255,255,255,255,255,255,64,200,255,0,0.7,1,1,0,0,0
35,,0,0,1,1,4,200,125,95,255,255,255,220,220,220,220,220,220,230,120,30,0,1,1,0,0,0,0
36,,1,0,1,1,4,200,125,95,255,255,255,220,220,220,220,220,220,230,120,30,0,1,1,0,0,0,0
40,,1,1,0,1,0.63,150,200,255,0,0,0,255,255,255,150,200,255,255,255,255,0,0.2,1,1,0,0,1
41,,1,1,0,1,0.63,150,200,255,0,0,0,255,255,255,150,200,255,255,255,255,0,0,1,1,0,0,1
42,,0.63,0.5,0.78,1,1,200,225,255,255,225,225,255,255,255,200,225,255,255,255,255,0,1,1,0,0,1,0
43,,0.13,1,0.5,0.25,1,255,255,255,0,0,0,160,0,0,200,225,255,255,255,255,0,1,0.75,0,1,0,0
50,,0.8,0.1,0.8,0.8,1,70,180,255,80,155,255,220,230,255,220,230,255,64,200,255,0,1,0.5,0,0,0,0
51,,1,0.04,1,1,1,64,200,255,32,100,128,0,0,0,64,200,255,32,100,128,0,1,1,0,0,0,0
52,,1,0.04,1,1,1,255,200,0,125,100,0,0,0,0,255,200,0,125,100,0,0,1,1,0,0,0,0
53,,1,0.04,1,1,1,255,128,64,128,64,32,0,0,0,255,128,64,128,64,32,0,1,1,0,0,0,0
54,,1,0.04,1,1,1,175,150,200,125,100,150,0,0,0,175,150,200,125,100,150,0,1,1,0,0,0,0
55,,1,0.04,1,1,1,160,192,32,80,96,16,0,0,0,160,192,32,80,96,16,0,1,1,0,0,0,0
56,,0.5,0.04,1,1,1,255,128,64,128,64,32,0,0,0,255,128,64,128,64,32,0,1,1,0,0,0,0
57,,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,0,0,0
58,,0.5,0.04,1,1,1,64,128,160,64,128,160,0,0,0,64,128,160,64,128,160,0,1,1,0,0,0,0
59,,1,0.04,1,1,1,64,200,255,32,100,128,0,0,0,64,200,255,32,100,128,0,1,1,0,0,0,0
60,,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
61,,0.5,0,0.5,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
62,,1,0,0,0,1,255,255,255,0,0,0,0,0,0,0,0,0,160,160,160,0,0.3,1,0,0,0,0
63,,0.3,2,0,0,1,255,0,0,220,200,200,0,0,0,0,0,0,160,160,160,0,0.4,1,0,0,0,0
64,,2,0,1,1,3,255,180,0,0,0,0,255,255,255,255,255,255,255,230,160,0,1,1,0,0,0,0
65,,1.5,0,0,0.4,5,255,230,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,0,0,0
66,,1,0,1,1,1,180,0,255,0,0,0,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0
67,,1,0,0,0.4,5,180,0,255,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,0,0,0
68,,2,0,1,1,1,40,165,110,0,0,0,255,255,255,255,255,255,230,255,175,0,1,1,0,0,0,0
69,,1.5,0,0,0.4,5,40,165,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1,1,0,0,0,0
70,,1,0,1,1,2,0,50,255,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,0,0,0
71,,1,0,0,0.4,5,255,255,255,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,0,0,0
72,,1,0,0,0.4,5,255,160,0,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,0,0,0
73,,1,0,0,0.4,5,150,200,0,0,0,0,0,0,0,0,0,255,0,0,255,0,1,1,0,0,0,0
74,,1,0,1,1,0,160,160,160,160,160,160,255,255,255,255,255,255,160,160,160,0,0.5,1,3,0,0,0
75,,0,0,1,1,0,255,255,255,160,160,160,255,255,255,255,255,255,160,160,160,0,0.6,1,1,0,0,0
76,,1,0,0,0,1,255,255,255,0,0,0,0,0,0,0,0,0,160,160,160,0,0.1,1,3,0,0,0
80,,0.5,0,0.5,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
81,,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
82,,0.5,0,0.1,0.1,0,30,100,200,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,0,0,0
83,,0.6,0,0.4,0.4,5,190,200,255,0,0,0,60,80,255,60,80,255,120,170,200,0,1,1,0,0,0,0
84,,0.6,0,0.4,0.4,5,190,200,255,0,0,0,60,80,255,60,80,255,120,170,200,0,1,1,0,0,0,0
85,,0.9,0.03,0.3,0.3,0,255,170,0,255,50,0,255,100,0,255,100,0,0,0,0,0,1,1,0,0,0,0
86,,0.8,0,0.3,0.3,4,255,0,0,255,50,0,255,180,0,255,180,0,255,180,0,0,1,1,0,0,0,0
87,,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,1,1,0,0,0,0
88,,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,1,1,0,0,0,0
89,,0.6,0,0,0,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
90,,1,0,0.1,0.1,10,0,50,255,0,0,0,190,80,255,190,80,255,170,80,255,0,1,1,0,0,0,0
91,,0.6,0,0.1,0.1,3,100,160,255,0,0,0,255,0,200,255,0,150,255,0,140,0,1,1,0,0,0,0
101,,0.63,0,0.5,0.5,0.5,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,0,0,0
102,,0.5,0.02,0.5,0.5,0.5,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0
103,,0.5,0.5,0.5,0.5,0.5,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,0,1,0
104,,0.5,1,0.5,0.5,0.5,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,0,1,0
105,,0.5,1,0.5,0.5,0.5,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
106,,1,1,0.5,0.5,0.5,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
107,,0.5,1,0.5,0.5,0.5,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
108,,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
109,,1,1,0.5,0.5,0.25,0,255,255,64,255,200,255,255,255,255,255,255,255,0,32,0,1,1,0,1,1,0
170,,1,0,1,1,2,0,50,255,0,0,0,255,255,255,255,255,255,200,230,255,0,1,1,0,0,0,0
181,,0.6,0,0.2,0.2,0,255,0,0,0,0,0,255,255,255,255,255,255,0,0,0,0,0.5,1,3,0,0,0
185,,0.9,0.03,0.3,0.3,0,255,170,0,255,50,0,255,100,0,255,100,0,0,0,0,0,0.5,1,3,0,0,0
186,,0.8,0,0.3,0.3,4,255,0,0,255,50,0,255,180,0,255,180,0,255,180,0,0,0.5,1,3,0,0,0
187,,0.5,0,0.1,0.1,0,220,0,180,0,0,0,255,255,255,255,255,255,255,120,0,0,0.5,1,3,0,0,0
201,,0.25,0,0,0,0,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,0,1,1,0,0,0,0
202,,0.25,0.02,0,0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,1,1,0,0,0,0
203,,0.25,0,0,0,0,160,96,0,0,8,160,255,255,255,255,255,255,160,96,0,0,1,1,0,0,1,0
204,,0.25,1,0,0,0,255,160,0,0,32,255,255,255,255,255,255,255,255,160,0,0,1,1,0,0,1,0
205,,0.25,1,0,0,0,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
206,,0.63,1,1,1,1,160,64,32,32,255,255,255,255,255,255,255,255,255,0,0,0,1,0.5,0,0,1,0
207,,0.25,1,0,0,0,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
208,,1,1,1,1,1,255,255,255,32,255,255,255,255,255,255,255,255,255,200,200,0,1,1,0,0,1,0
209,,1,0.5,1,1,0,255,255,255,255,255,255,0,0,0,0,0,0,0,0,0,0,0.04,1,3,1,0,0
300,,10,0,0,0,1,67,28,158,89,28,158,51,28,158,51,28,158,109,28,158,0,0.15,1,1,0,0,0
301,,0,0,1,0,0,255,255,255,255,255,255,255,255,255,255,255,255,0,0,0,0,0.4,1,3,0,0,0
302,,10,0,0,0,1,154,60,41,140,57,48,145,62,41,154,46,41,154,46,41,0,0.18,1,3,0,0,0
303,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,3,0,0,0
305,,0.5,0,0.5,1,0,255,255,255,0,0,0,255,255,255,255,255,255,0,0,0,0,1,1,0,0,0,0
310,,10,0,0,0,1,51,28,158,51,28,158,51,28,158,51,28,158,51,28,158,0,0.25,1,1,0,0,0
320,,0.4,0,1,0,1,125,125,125,200,200,255,0,0,0,160,160,160,160,160,160,0,0.7,1,0,0,0,0
321,,0.4,0.05,2,0,30,255,25,125,200,200,255,255,200,200,160,160,160,155,30,0,0,0.2,1,0,0,0,0
330,,0.5,1,1,1,1,155,145,160,0,0,0,0,0,0,255,255,255,150,160,192,0,1,1,0,0,0,0
340,,1,0.1,0,1,1,185,155,155,255,255,185,160,160,160,160,160,160,160,130,160,0,0.3,1,0,0,0,0
341,,1,0.1,0,1,1,185,155,155,255,255,185,160,160,160,160,160,160,160,130,160,0,0.7,1,0,0,0,0
350,,0.8,0,1,0,15,50,50,50,62,0,15,60,50,110,220,220,220,230,120,30,0,0.8,1,0,0,0,0
360,,1,0,1.6,1,6,75,75,95,40,62,100,168,170,255,220,220,220,85,85,85,0,0.85,1,0,0,0,0
370,,1,0,1.6,1,3,75,75,95,40,62,100,168,170,255,220,220,220,85,85,85,0,0.85,1,0,0,0,0
